DISTCD,STATNAME,DISTNAME,DISTRICTS,BLOCKS,VILLAGES,CLUSTERS,TOTPOPULAT,P_URB_POP,POPULATION_0_6,GROWTHRATE,SEXRATIO,P_SC_POP,P_ST_POP,OVERALL_LI,FEMALE_LIT,MALE_LIT,AREA_SQKM,TOT_6_10_15,TOT_11_13_15,SCH1,SCH2,SCH3,SCH4,SCH5,SCH6,SCH7,SCH9,SCHTOT,SCH1G,SCH2G,SCH3G,SCH4G,SCH5G,SCH6G,SCH7G,SCH9G,SCHTOTG,SCH1P,SCH2P,SCH3P,SCH4P,SCH5P,SCH6P,SCH7P,SCH9P,SCHTOTP,SCH1M,SCH2M,SCH3M,SCH4M,SCH5M,SCH6M,SCH7M,SCH9M,SCHTOTM,SCH1GR,SCH2GR,SCH3GR,SCH4GR,SCH5GR,SCH6GR,SCH7GR,SCH9GR,SCHTOTGR,SCH1GA,SCH2GA,SCH3GA,SCH4GA,SCH5GA,SCH6GA,SCH7GA,SCH9GA,SCHTOTGA,SCH1PR,SCH2PR,SCH3PR,SCH4PR,SCH5PR,SCH6PR,SCH7PR,SCH9PR,SCHTOTPR,SCHBOY1,SCHBOY2,SCHBOY3,SCHBOY4,SCHBOY5,SCHBOY6,SCHBOY7,SCHBOY9,SCHBOYTOT,SCHGIR1,SCHGIR2,SCHGIR3,SCHGIR4,SCHGIR5,SCHGIR6,SCHGIR7,SCHGIR9,SCHGIRTOT,ENR1,ENR2,ENR3,ENR4,ENR5,ENR6,ENR7,ENR9,ENRTOT,ENR1G,ENR2G,ENR3G,ENR4G,ENR5G,ENR6G,ENR7G,ENR9G,ENRTOTG,ENR1P,ENR2P,ENR3P,ENR4P,ENR5P,ENR6P,ENR7P,ENR9P,ENRTOTP,ENR1M,ENR2M,ENR3M,ENR4M,ENR5M,ENR6M,ENR7M,ENR9M,ENRTOTM,ENR1GR,ENR2GR,ENR3GR,ENR4GR,ENR5GR,ENR6GR,ENR7GR,ENR9GR,ENRTOTGR,ENR1PR,ENR2PR,ENR3PR,ENR4PR,ENR5PR,ENR6PR,ENR7PR,ENR9PR,ENRTOTPR,TCH1G,TCH2G,TCH3G,TCH4G,TCH5G,TCH6G,TCH7G,TCH9G,TCHTOTG,TCH1P,TCH2P,TCH3P,TCH4P,TCH5P,TCH6P,TCH7P,TCH9P,TCHTOTP,TCH1M,TCH2M,TCH3M,TCH4M,TCH5M,TCH6M,TCH7M,TCH9M,TCHTOTM,SCLS1,SCLS2,SCLS3,SCLS4,SCLS5,SCLS6,SCLS7,SCLSTOT,STCH1,STCH2,STCH3,STCH4,STCH5,STCH6,STCH7,STCHTOT,ROAD1,ROAD2,ROAD3,ROAD4,ROAD5,ROAD6,ROAD7,ROADTOT,SPLAY1,SPLAY2,SPLAY3,SPLAY4,SPLAY5,SPLAY6,SPLAY7,SPLAYTOT,SBNDR1,SBNDR2,SBNDR3,SBNDR4,SBNDR5,SBNDR6,SBNDR7,SBNDRTOT,SGTOIL1,SGTOIL2,SGTOIL3,SGTOIL4,SGTOIL5,SGTOIL6,SGTOIL7,SGTOILTOT,SBTOIL1,SBTOIL2,SBTOIL3,SBTOIL4,SBTOIL5,SBTOIL6,SBTOIL7,SBTOILTOT,SWAT1,SWAT2,SWAT3,SWAT4,SWAT5,SWAT6,SWAT7,SWATTOT,SELE1,SELE2,SELE3,SELE4,SELE5,SELE6,SELE7,SELETOT,SCOMP1,SCOMP2,SCOMP3,SCOMP4,SCOMP5,SCOMP6,SCOMP7,SCOMPTOT,SRAM1,SRAM2,SRAM3,SRAM4,SRAM5,SRAM6,SRAM7,SRAMTOT,SRAMN1,SRAMN2,SRAMN3,SRAMN4,SRAMN5,SRAMN6,SRAMN7,SRAMNTOT,ESTD1,ESTD2,ESTD3,ESTD4,ESTD5,ESTD6,ESTD7,ESTDTOT,MDM1,MDM2,MDM3,MDM4,MDM5,MDM6,MDM7,MDMTOT,KIT1,KIT2,KIT3,KIT4,KIT5,KIT6,KIT7,KITTOT,KITS1,KITS2,KITS3,KITS4,KITS5,KITS6,KITS7,KITSTOT,ENR501,ENR502,ENR503,ENR504,ENR505,ENR506,ENR507,ENR509,ENR50TOT,SMC1,SMC2,SMC3,SMC4,SMC5,SMC6,SMC7,SMCTOT,CLS1,CLS2,CLS3,CLS4,CLS5,CLS6,CLS7,CLSTOT,TCH1,TCH2,TCH3,TCH4,TCH5,TCH6,TCH7,TCHTOT,TCHF1,TCHF2,TCHF3,TCHF4,TCHF5,TCHF6,TCHF7,TCHFTOT,TCHM1,TCHM2,TCHM3,TCHM4,TCHM5,TCHM6,TCHM7,ENRG1,ENRG2,ENRG3,ENRG4,ENRG5,ENRG6,ENRG7,ENRGTOT,PREP,PRESTD,PPFTCH,PPMTCH,PMTCH,PFTCH,TCHSCM1,TCHSCM2,TCHSCM3,TCHSCM4,TCHSCM5,TCHSCM6,TCHSCM7,TCHSCF1,TCHSCF2,TCHSCF3,TCHSCF4,TCHSCF5,TCHSCF6,TCHSCF7,TCHSTM1,TCHSTM2,TCHSTM3,TCHSTM4,TCHSTM5,TCHSTM6,TCHSTM7,TCHSTF1,TCHSTF2,TCHSTF3,TCHSTF4,TCHSTF5,TCHSTF6,TCHSTF7,TCHOBCM1,TCHOBCM2,TCHOBCM3,TCHOBCM4,TCHOBCM5,TCHOBCM6,TCHOBCM7,TCHOBCF1,TCHOBCF2,TCHOBCF3,TCHOBCF4,TCHOBCF5,TCHOBCF6,TCHOBCF7,TCH_TRNRM1,TCH_TRNRM2,TCH_TRNRM3,TCH_TRNRM4,TCH_TRNRM5,TCH_TRNRM6,TCH_TRNRM7,TCH_TRNRF1,TCH_TRNRF2,TCH_TRNRF3,TCH_TRNRF4,TCH_TRNRF5,TCH_TRNRF6,TCH_TRNRF7,PGRMTCH,PGRFTCH,GRMTCH,GRFTCH,PGCMTCH,PGCFTCH,PCMTCH,PCFTCH
923,UTTAR PRADESH,KHERI,1,19,2121,170,4013634,11.49,644589.62,25.14,887,26.4,1.33,62.71,52.62,71.58,7680,476674,330007,3315,105,36,1294,123,3,17,0,4893,2734,0,4,1156,8,0,0,0,3902,548,80,30,138,114,3,17,0,930,33,25,2,0,1,0,0,0,61,2672,0,2,1139,4,0,0,0,3817,2735,0,9,1172,48,0,3,0,3967,390,53,21,93,83,3,14,0,657,3309,105,33,1265,113,3,17,0,4845,3312,105,35,1292,113,3,17,0,4877,454774,25906,16778,148476,28435,940,1930,366,677605,372077,0,1693,127011,1335,0,0,0,502116,79397,21068,14885,21465,27017,940,1930,366,167068,3300,4838,200,0,83,0,0,0,8421,364816,0,517,125609,886,0,0,0,491828,56259,14549,7454,15449,17494,940,1681,122,113948,8971,0,66,3512,75,0,0,0,12624,2914,612,493,703,1427,30,161,0,6340,148,145,27,0,9,0,0,0,329,22,1,1,3,10,0,1,38,200,1,0,203,2,0,0,406,3206,104,33,1252,121,3,17,4736,2380,86,26,992,104,3,15,3606,2053,99,36,620,117,3,15,2943,3312,105,35,1292,113,3,17,4877,3309,105,33,1265,113,3,17,4845,3285,105,36,1277,123,3,17,4846,925,70,34,311,93,3,8,1444,182,44,24,137,75,3,5,470,1912,18,11,762,41,0,7,2751,2085,22,18,838,47,0,7,3017,1272,52,20,883,46,3,10,2286,2705,0,8,1161,45,0,3,3922,2582,0,4,927,11,0,2,3526,2645,0,4,1142,23,0,2,3816,280,13,2,162,12,0,4,98,473,2731,0,6,1168,27,0,1,3933,15476,908,417,6130,564,32,81,23608,12033,757,586,4215,1511,30,161,19293,5253,312,298,1716,294,11,43,7927,6591,445,286,2483,1210,19,118,217026,10682,8342,73789,11889,324,877,322970,237,13866,1006,2533,4129,2192,1364,39,25,471,156,1,17,693,28,23,263,19,0,4,90,8,2,32,21,1,0,78,2,6,15,10,0,0,2638,196,89,1108,455,3,69,1992,107,61,691,107,4,14,483,5,0,137,29,0,0,436,8,0,103,9,0,0,5706,4274,6166,4835,464,512,609,819
924,UTTAR PRADESH,SITAPUR,1,23,2609,247,4474446,11.84,732914.25,23.62,879,32.26,0.04,63.38,52.8,72.61,5743,536351,365231,3885,272,70,1451,123,7,22,0,5830,3022,0,5,1169,13,0,11,0,4220,697,76,57,268,110,4,11,0,1223,166,196,8,14,0,3,0,0,387,2951,0,3,1145,12,0,11,0,4122,3044,7,11,1236,48,0,18,0,4364,548,71,50,221,92,4,10,0,996,3882,271,69,1413,123,7,22,0,5787,3878,270,70,1440,123,7,22,0,5810,568846,86889,24555,164086,23156,2590,3567,422,874111,388479,0,1565,112676,2490,0,1393,0,506603,152114,23722,20150,48903,20666,881,2174,422,269032,28253,63167,2840,2507,0,1709,0,0,98476,376447,0,841,109689,2394,0,1393,0,490764,95541,21721,16485,34743,15324,881,2021,155,186871,12184,0,58,4293,103,0,46,0,16684,3517,471,394,1275,1206,24,175,0,7062,360,270,7,32,0,11,0,0,680,20,68,1,4,0,0,0,93,206,63,11,65,13,1,3,362,3772,260,70,1441,123,7,22,5695,3377,89,53,1323,104,4,18,4968,2291,85,49,635,112,2,13,3187,3878,270,70,1440,123,7,22,5810,3882,271,69,1413,123,7,22,5787,3829,272,69,1398,123,7,19,5717,1070,70,41,340,91,4,8,1624,266,24,27,138,62,1,7,525,367,18,10,112,22,2,1,532,379,18,10,120,22,2,2,553,1196,203,30,781,33,3,8,2254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,3,1,264,2,0,0,196,477,3035,5,10,1169,44,0,18,4281,17558,921,139,5990,247,14,94,24963,16061,741,459,5600,1309,35,221,24426,7125,205,164,2188,262,9,35,9988,8936,536,295,3412,1047,26,186,275994,42374,12688,83209,11279,1306,1567,428590,320,17314,1022,2382,4847,2215,1805,73,28,627,134,4,14,1086,20,28,339,39,0,5,123,10,1,37,3,0,1,73,1,0,19,3,0,0,3153,149,58,1089,148,15,15,2438,69,21,665,60,7,6,8920,532,294,3396,1047,26,186,7106,205,163,2186,262,9,35,5837,4594,8018,5994,508,690,1065,1607
925,UTTAR PRADESH,HARDOI,1,25,2157,209,4091380,13.22,662803.56,20.39,856,31.14,0.01,68.89,59.17,77.2,5986,465982,320066,3760,136,40,1271,208,20,100,0,5535,2848,3,4,1033,12,0,6,0,3906,883,97,29,237,196,13,94,0,1549,29,36,7,1,0,7,0,0,80,2772,1,3,1016,11,0,6,0,3809,2850,6,8,1070,74,0,13,0,4021,750,65,24,206,186,12,90,0,1333,3755,136,36,1236,205,20,97,0,5485,3757,136,38,1265,201,20,100,0,5517,492881,31858,15220,138148,42770,9168,15437,739,746221,347471,880,1020,105246,1747,0,394,0,456758,141598,23754,12507,32827,41023,7764,15043,691,275207,3812,7224,1693,75,0,1404,0,48,14256,338134,167,753,104102,1726,0,394,0,445276,121711,15426,8354,28915,38662,7138,14763,691,235660,9661,22,42,4255,91,0,29,0,14100,4839,692,211,1184,1347,67,455,0,8795,137,203,55,3,0,37,0,0,435,21,0,0,4,5,0,6,36,144,4,3,84,29,1,25,290,3453,116,34,1214,178,19,76,5090,2492,92,24,907,133,17,56,3721,2519,130,38,788,203,20,96,3794,3756,136,37,1265,201,19,100,5514,3754,136,35,1236,205,19,97,5482,3754,135,40,1260,208,20,100,5517,737,89,28,228,135,13,58,1288,199,54,16,144,81,8,28,530,489,32,17,171,71,6,45,831,577,37,19,209,76,6,48,972,1341,79,23,746,83,15,72,2359,2768,1,5,1050,54,0,12,3890,2705,1,2,936,16,0,4,3664,2740,1,2,1017,32,0,10,3802,244,3,0,185,31,1,22,171,486,2831,4,5,1058,43,0,10,3951,17475,1042,300,5909,1030,133,470,26359,14637,917,308,5442,1438,104,484,23330,6139,396,135,1942,206,21,120,8959,8423,519,171,3484,1232,83,361,234366,14122,8257,68190,18790,4405,7009,355371,369,38175,1132,2766,6124,2652,2005,92,29,793,242,14,72,1222,47,23,334,23,1,19,70,3,1,37,8,0,3,41,4,1,12,0,0,1,3062,185,76,1318,493,28,136,2160,127,55,717,75,4,61,196,1,0,98,12,0,0,217,1,0,60,0,1,0,5876,4185,6860,5150,645,555,993,1022
926,UTTAR PRADESH,UNNAO,1,17,2134,203,3110595,17.14,417130.79,15.19,901,30.52,0.09,68.29,58.54,77.06,4558,312962,219996,3146,161,9,1064,130,3,45,0,4558,2306,0,1,845,8,0,0,0,3160,657,98,1,218,122,0,45,0,1141,183,63,7,1,0,3,0,0,257,2216,0,1,821,7,0,0,0,3045,2340,4,1,887,59,0,7,0,3298,560,80,1,202,115,0,43,0,1001,3129,161,9,1035,116,2,43,0,4495,3139,161,9,1062,124,3,45,0,4543,292010,35114,2877,90357,20335,500,6576,780,448549,178211,0,968,60934,1345,0,0,165,241623,93487,24850,295,29064,18990,0,6576,219,173481,20312,10264,1614,359,0,500,0,396,33445,171377,0,968,59676,1210,0,0,165,233396,78784,21562,295,26913,17893,0,6164,219,151830,7175,0,41,3268,138,0,0,0,10622,3811,750,2,1167,1529,0,286,0,7545,759,414,75,12,0,14,0,0,1274,43,7,0,4,18,0,4,76,62,0,0,6,2,1,1,72,2843,139,7,989,117,2,38,4135,2490,102,3,922,89,1,23,3630,2502,153,9,705,129,3,44,3545,3139,161,9,1062,124,3,45,4543,3129,161,9,1035,116,2,43,4495,3134,161,9,1058,130,3,45,4540,1196,122,9,418,105,3,35,1888,319,42,2,191,80,2,13,649,650,31,1,188,74,0,20,964,758,32,2,247,80,0,23,1142,1094,71,4,609,31,3,27,1839,2296,1,0,857,13,0,1,3168,2228,1,0,805,10,0,1,3045,2291,1,0,856,13,0,1,3162,620,5,0,330,20,0,6,179,981,2316,2,1,871,34,0,2,3226,13280,1032,76,4426,487,23,156,19480,11745,1164,118,4447,1667,14,286,19441,5934,581,52,1799,404,5,63,8838,5567,583,62,2636,1247,9,196,144247,16582,1460,47036,10054,380,3283,223520,243,39276,2277,4300,4691,2585,1058,62,7,463,131,0,25,955,43,0,324,41,1,5,26,3,0,16,6,0,0,29,4,1,10,1,0,0,2070,168,14,978,444,0,42,1983,152,16,553,137,1,20,238,20,0,101,2,0,1,265,20,2,81,14,1,0,4483,4884,4617,5093,285,450,327,551
927,UTTAR PRADESH,LUCKNOW,1,9,1175,149,4588455,66.2,521707.33,25.79,906,20.66,0.16,79.33,73.88,84.27,2528,389124,275142,2731,755,245,782,218,114,72,0,4917,1367,9,18,462,15,3,18,0,1892,1343,666,226,308,203,111,54,0,2911,21,80,1,12,0,0,0,0,114,1159,4,4,401,5,1,16,0,1590,1374,40,64,479,60,6,22,0,2045,237,232,68,40,76,27,23,0,703,2721,737,217,741,179,110,72,0,4777,2728,751,228,773,196,110,69,0,4855,565644,265159,99485,142484,34311,36629,6494,202,1150408,121995,1537,19704,41240,2846,1606,2189,0,191117,439286,232959,79722,98471,31465,35023,4305,202,921433,4363,30663,59,2773,0,0,0,0,37858,102875,1066,2663,37365,771,38,1871,0,146649,35096,66922,22116,5782,10408,7642,1549,149,149664,6360,50,370,2508,338,12,136,0,9774,2848,2159,2032,585,1729,439,230,0,10022,41,155,2,19,0,0,0,0,217,10,4,3,3,7,4,1,32,535,155,8,199,2,8,3,910,2663,651,215,755,199,105,67,4655,2426,587,88,687,54,38,28,3908,2382,703,225,620,204,106,53,4293,2728,750,228,772,196,110,69,4853,2721,737,217,741,179,110,72,4777,2711,754,245,776,217,114,72,4889,1483,574,196,400,173,72,46,2944,380,167,91,149,117,40,23,967,479,186,159,130,153,79,41,1227,507,187,169,143,165,79,43,1293,2731,755,244,782,218,114,72,4916,1368,37,48,471,56,3,21,2004,1368,37,48,471,56,3,21,2004,1368,37,48,471,56,3,21,2004,307,33,29,106,44,13,26,210,558,1374,39,51,478,58,5,22,2027,17915,5775,1319,4785,750,579,285,31408,9249,2364,2404,3112,2067,451,366,20013,5120,900,1187,1939,834,182,166,10328,4128,1464,1217,1169,1233,269,198,282029,132751,49749,72911,17690,17331,3049,575600,232,9055,2167,3507,6038,3984,766,142,46,166,62,18,16,829,106,60,377,25,7,19,40,17,4,11,5,3,4,54,15,8,22,7,3,1,1156,288,85,335,126,26,34,1643,217,113,478,97,25,42,152,0,2,41,1,1,0,302,1,1,131,3,1,1,2081,4258,2770,5005,295,542,677,1315
928,UTTAR PRADESH,RAE BARELI,1,19,1992,162,3404004,9.05,460902.14,18.51,941,30.26,0.05,69.04,58.06,79.39,4609,344722,250841,2455,49,39,787,104,12,40,0,3486,1986,6,6,627,12,0,0,0,2637,461,37,31,159,92,11,40,0,831,8,6,2,1,0,1,0,0,18,1947,4,5,608,10,0,0,0,2574,2077,10,11,670,47,0,3,0,2818,408,28,16,140,80,9,36,0,717,2455,49,35,760,94,12,37,0,3442,2455,49,37,783,101,12,40,0,3477,236596,11725,12746,78836,20032,4295,5668,599,370497,167935,1087,2110,54955,2066,0,0,0,228153,68036,8638,9699,23615,17966,4157,5668,552,138331,625,2000,937,266,0,138,0,47,4013,164822,568,1651,53119,1824,0,0,0,221984,61771,6216,7146,20570,15674,4041,5014,420,120852,6557,18,108,2951,141,0,0,0,9775,2045,207,233,714,871,56,148,0,4274,39,34,10,3,0,2,0,0,88,22,1,0,8,5,0,5,41,163,4,2,23,6,0,6,204,2267,46,38,770,101,11,34,3267,1245,39,26,432,71,6,26,1845,1497,42,39,414,98,12,40,2142,2455,49,37,782,101,12,40,3476,2455,49,35,760,94,12,37,3442,2425,49,39,746,104,12,40,3415,910,30,34,356,89,10,30,1459,111,15,17,88,48,1,14,294,560,10,15,94,52,5,21,757,620,11,17,123,55,5,22,853,931,25,9,464,20,6,24,1479,1893,2,3,639,26,0,1,2564,1765,1,3,540,18,0,0,2327,1868,2,3,622,26,0,1,2522,636,4,4,228,20,1,8,81,901,2043,9,7,653,39,0,1,2752,10511,327,204,3444,378,85,182,15131,8641,259,351,3668,1012,58,148,14137,4156,114,135,1599,180,25,39,6248,4470,145,216,2068,832,33,109,117729,5621,6097,40834,9899,1844,2798,185119,258,17781,714,2027,2986,1288,875,11,30,395,114,1,20,617,4,13,248,25,1,6,59,2,1,23,9,0,2,55,1,2,14,0,0,0,1681,68,72,742,200,11,32,1507,33,36,513,51,6,18,57,0,0,27,5,0,0,45,0,0,51,2,0,0,3730,3360,4278,4069,334,421,545,870
929,UTTAR PRADESH,FARRUKHABAD,1,9,1174,94,1887577,22,292763.19,20.2,874,16.59,0.01,70.57,60.51,79.34,2181,217929,146126,1673,142,44,777,71,15,33,0,2755,1290,0,2,571,3,0,0,0,1866,365,117,37,204,67,7,33,0,830,18,25,5,2,1,8,0,0,59,1218,0,1,555,1,0,0,0,1775,1291,2,15,615,43,0,11,0,1977,237,89,28,133,59,6,28,0,580,1671,140,40,747,66,13,30,0,2707,1673,141,41,772,62,15,32,0,2736,206057,59481,27679,135200,33777,4395,6559,203,473351,122158,0,822,34024,607,0,0,0,157611,79540,54334,26084,101025,33163,3276,6559,203,304184,4359,5147,773,151,7,1119,0,0,11556,116139,0,232,32986,226,0,0,0,149583,51043,37265,15854,58060,31735,2543,6104,203,202807,4029,0,42,1816,43,0,0,0,5930,1743,781,488,941,939,45,192,0,5129,89,164,35,12,2,53,0,0,355,18,2,2,1,2,0,3,28,65,1,1,39,0,0,0,106,1502,134,41,700,67,12,31,2487,893,81,16,477,27,4,17,1515,1137,129,42,439,70,15,31,1863,1672,141,41,771,62,15,32,2734,1670,140,40,746,66,13,30,2705,1660,142,44,757,71,15,33,2722,487,80,35,237,61,8,22,930,195,63,22,165,46,5,11,507,561,42,33,235,50,6,21,948,645,62,37,273,53,12,21,1103,631,64,17,490,13,13,13,1241,1286,1,14,604,39,0,6,1950,1231,1,8,511,23,0,3,1777,1283,1,14,602,37,0,6,1943,190,4,1,329,8,1,6,96,539,1289,1,12,611,32,0,7,1952,8293,977,313,3511,393,62,166,13715,5861,945,565,2769,984,98,192,11414,2624,314,188,1058,140,37,25,4386,3230,631,310,1708,793,61,167,100158,29115,15344,71888,14395,2542,3197,236709,204,18227,1212,3006,3497,1513,497,54,30,276,115,4,19,347,21,24,160,11,2,1,23,4,9,14,6,1,1,21,1,2,16,0,0,0,1727,328,136,863,411,11,96,1298,135,74,447,86,5,18,10,0,0,17,0,0,0,16,0,0,15,0,0,0,2715,2207,2938,2504,164,193,214,265
930,UTTAR PRADESH,KANNAUJ,1,9,820,100,1658005,16.92,251519.36,19.37,879,18.71,0,74.01,64.46,82.36,2093,184780,127128,1652,75,38,722,160,63,52,0,2762,1212,0,0,460,3,1,0,0,1676,360,48,7,255,155,2,52,0,879,80,27,31,7,2,60,0,0,207,1179,0,0,448,3,0,0,0,1630,1212,1,4,498,50,1,6,0,1772,279,37,5,227,129,1,43,0,721,1650,74,36,698,156,57,50,0,2721,1652,75,38,717,155,63,52,0,2752,171424,22009,12093,61015,23228,14749,5139,400,310057,93872,0,0,25098,425,82,0,0,119477,64466,14783,4429,34726,22720,553,5139,400,147216,13086,7226,7664,1191,83,14114,0,0,43364,90503,0,0,24135,425,0,0,0,115063,49795,10684,3031,30294,17406,265,4282,400,116157,3603,0,0,1814,28,3,0,0,5448,1673,274,93,1180,1806,33,382,0,5441,229,150,179,15,4,220,0,0,797,8,0,0,2,8,0,3,21,83,2,1,30,2,1,0,119,1505,66,35,662,150,61,48,2527,1220,51,18,550,137,22,36,2034,1314,71,38,543,158,63,50,2237,1650,75,38,717,155,63,52,2750,1648,74,36,698,156,57,50,2719,1650,75,38,720,160,63,52,2758,614,51,32,293,149,50,44,1233,55,12,10,119,68,20,8,292,903,56,35,337,128,59,43,1561,927,57,35,359,131,60,43,1612,717,37,28,443,77,58,40,1400,1194,1,4,483,41,0,4,1727,1117,1,1,397,15,0,1,1532,1180,1,4,466,39,0,3,1693,321,4,0,297,34,0,11,110,667,1200,1,1,488,11,0,1,1702,7789,610,250,3422,569,414,185,13239,5505,424,272,3009,1838,256,382,11686,2462,124,120,986,343,111,108,4254,3032,300,148,2016,1424,144,249,86158,10275,7036,31541,9542,7803,2471,154967,154,15806,1001,2704,3906,1433,422,22,4,272,147,1,29,347,8,7,129,19,1,6,21,5,1,19,8,0,1,17,0,0,11,2,0,0,1619,144,47,1107,693,54,148,1243,45,42,475,177,44,64,41,2,0,20,1,4,0,26,2,0,7,2,2,0,2583,2038,2709,2256,140,193,190,276
931,UTTAR PRADESH,ETAWAH,1,9,1328,86,1579160,23.2,220292.82,17.95,867,24.55,0.01,79.99,71.16,87.64,2311,163619,109089,1932,97,28,898,104,10,39,0,3108,1240,3,3,540,7,0,0,0,1793,684,93,23,351,97,7,39,0,1294,8,1,2,7,0,3,0,0,21,1200,1,3,517,5,0,0,0,1726,1241,4,9,585,47,1,7,0,1894,608,71,14,301,87,4,34,0,1119,1932,95,24,879,98,10,39,0,3077,1932,95,26,894,103,10,39,0,3099,180427,21323,15764,64042,14464,4762,3358,543,304683,77884,1096,787,26076,561,0,0,0,106404,101608,19893,14451,37219,13903,4071,3358,543,195046,935,334,526,747,0,691,0,0,3233,73970,896,787,24632,396,0,0,0,100681,90408,14388,6162,32408,11968,1856,2910,444,160544,3855,16,63,1777,83,0,0,0,5794,2659,447,521,1375,1222,54,268,0,6546,8,2,21,7,0,30,0,0,68,27,3,2,6,2,0,6,46,152,25,1,129,4,0,1,312,1901,95,26,890,87,6,35,3040,1837,85,19,849,73,5,22,2890,1514,94,28,712,103,10,38,2499,1932,95,26,894,103,10,38,3098,1932,95,24,879,98,10,38,3076,1924,97,28,891,104,10,38,3092,826,79,27,378,97,10,31,1448,50,14,16,197,58,3,11,349,188,7,16,58,60,7,12,348,212,9,17,68,62,7,13,388,769,70,16,444,45,5,29,1378,1234,2,7,563,44,1,7,1858,1188,2,6,445,38,1,6,1686,1227,2,7,557,44,1,7,1845,639,7,0,424,31,0,11,129,1112,1225,2,4,564,9,0,5,1809,8013,562,258,3632,359,73,112,13009,6522,465,605,3159,1305,84,268,12408,2593,214,265,1087,283,36,71,4549,3901,251,319,2047,1003,48,190,89122,9729,6662,32776,6698,2241,1547,149003,301,6987,1737,3851,4465,2017,776,38,25,341,128,9,29,405,18,34,167,28,0,4,54,2,12,23,8,0,0,47,1,4,16,4,0,1,2070,139,94,1013,475,25,123,1265,84,109,436,124,18,49,98,0,0,39,0,0,0,70,0,2,33,5,0,0,2962,2120,3012,2185,221,310,236,325
932,UTTAR PRADESH,AURAIYA,1,8,1131,90,1372287,17.07,193904.15,16.3,864,28.39,0.01,80.25,71.97,87.37,2016,144953,98603,1559,33,21,780,74,3,22,0,2492,1063,1,4,454,2,0,0,0,1524,490,29,17,324,70,2,22,0,954,6,3,0,2,2,1,0,0,14,1040,1,4,448,2,0,0,0,1495,1063,1,16,501,46,0,13,0,1640,389,28,14,249,65,2,20,0,767,1558,33,20,760,72,3,21,0,2467,1558,33,21,778,73,2,22,0,2487,188633,11009,8840,71602,11915,531,3792,0,296322,76918,55,496,25301,118,0,0,0,102888,110925,10449,8344,46057,11553,280,3792,0,191400,790,505,0,244,244,251,0,0,2034,75606,55,496,25100,118,0,0,0,101375,86631,9949,7469,35794,11009,280,3640,0,154772,3464,3,52,1636,10,0,0,0,5165,2021,189,187,1433,549,9,134,0,4522,27,16,0,10,10,12,0,0,75,0,0,0,0,0,0,0,0,13,0,0,10,0,0,0,23,1497,32,18,750,55,1,16,2369,1007,24,12,528,27,0,9,1607,1210,26,19,561,72,3,21,1912,1558,33,21,778,73,2,22,2487,1558,33,20,760,72,3,21,2467,1556,33,21,780,74,3,22,2489,688,16,20,392,68,3,19,1206,34,1,16,96,33,1,3,184,970,3,12,388,47,3,10,1433,979,3,13,392,48,3,10,1448,584,10,2,404,19,0,7,1026,1063,0,13,499,36,0,13,1624,1030,0,10,255,15,0,7,1317,1060,0,13,492,36,0,13,1614,364,0,1,292,6,0,1,142,664,1063,1,7,499,14,0,8,1592,6744,189,140,3304,338,22,108,10845,5512,208,239,3079,569,21,134,9762,2226,36,67,944,80,5,20,3378,3283,172,172,2135,478,16,106,91299,5028,4061,35942,5690,171,1827,144018,26,237,1035,2987,3328,1172,680,26,19,416,93,0,22,403,6,8,145,7,1,1,12,0,1,15,6,0,3,6,0,0,6,1,0,0,1445,101,62,955,155,4,36,816,20,28,284,24,3,7,38,0,0,23,0,0,0,41,0,0,9,0,0,0,2742,1891,2771,1936,84,84,206,252
